315.00,226.00,75.00,65.00
315.80,226.14,73.40,63.61
315.80,226.68,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
315.80,227.22,73.40,63.61
